Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,768,0,3,6.147783438799219,1.3868230000753101,62.569275999976526,27.0,2.9909090685828774,0.0,3,7,8,8,12,20,30,35,63,63,63
GET,/api/recurso-detalhe/1,3,0,20,24.747284999951564,17.13461700001062,37.306888999864896,23.0,0.011683238549151865,0.0,20,20,37,37,37,37,37,37,37,37,37
GET,/api/recurso-detalhe/10,4,0,4,4.832854750020488,2.822619999960807,6.855247999965286,25.0,0.015577651398869153,0.0,5,5,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/100,2,0,5.485940999960803,18.995228999983738,5.485940999960803,32.50451700000667,27.0,0.007788825699434576,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/api/recurso-detalhe/1000,1,0,6.74415699995734,6.74415699995734,6.74415699995734,6.74415699995734,29.0,0.003894412849717288,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/101,2,0,3.334421999852566,5.048081999916576,3.334421999852566,6.761741999980586,27.0,0.007788825699434576,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/103,1,0,6.3572510000540206,6.3572510000540206,6.3572510000540206,6.3572510000540206,27.0,0.003894412849717288,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/recurso-detalhe/104,1,0,1.9682639999700768,1.9682639999700768,1.9682639999700768,1.9682639999700768,27.0,0.003894412849717288,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/105,3,0,8,6.0856273333532345,1.9874609999988024,8.178326000006564,27.0,0.011683238549151865,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/106,1,0,2.390376999755972,2.390376999755972,2.390376999755972,2.390376999755972,27.0,0.003894412849717288,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/107,2,0,2,2.444840000066506,1.993265999999494,2.896414000133518,27.0,0.007788825699434576,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/108,2,0,6.001872000069852,6.316429499975129,6.001872000069852,6.630986999880406,27.0,0.007788825699434576,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/109,5,0,7,5.363398600002256,1.5174220000062633,8.768413000098008,27.0,0.01947206424858644,0.0,7,7,7,9,9,9,9,9,9,9,9
GET,/api/recurso-detalhe/11,3,0,5,9.59020833336884,1.8302430000858294,21.928387000116345,25.0,0.011683238549151865,0.0,5,5,22,22,22,22,22,22,22,22,22
